qlet	Birt`h order (within pregnancy)
levelband_15	15yr Any disorder (any informant 6-band computer prediction, ICD-10 and DSM-IV)
pextband_15	15yr Any externalising disorder (ODD CD ADHD parent 6-band computer prediction, ICD-10 and DSM-IV)
padhdbandd_15	15yr ADHD (parent 6-band computer prediction, DSM-IV)
padhdbandi_15	15yr Hyperkinesis (parent 6-band computer prediction, ICD-10)
pbehavband_15	15yr Any behavioural disorder (ODD or CD parent 6-band computer prediction, ICD-10 and DSM-IV)
poddband_15	15yr Oppositional defiant (parent 6-band computer prediction, ICD-10 and DSM-IV)
pcdband_15	15yr Conduct disorder (parent 6-band computer prediction, ICD-10 and DSM-IV)
semotband_15	15yr Any emotional disorder (self-report 6-band computer prediction, ICD-10 and DSM-IV)
sdepband_15	15yr Depression (self-report 6-band computer prediction, ICD-10 and DSM-IV)
sanxband_15	15yr Any anxiety disorder (self-report 6-band computer prediction, ICD-10 and DSM-IV)
sgenaband_15	15yr Generalised anxiety (self-report 6-band computer prediction, ICD-10 and DSM-IV)
spanband_15	15yr Panic disorder (self-report 6-band computer prediction, ICD-10 and DSM-IV)
sagoband_15	15yr Agoraphobia (self-report 6-band computer prediction, ICD-10 and DSM-IV)
sptsdband_15	15yr PTSD (self-report 6-band computer prediction, ICD-10 and DSM-IV)
ssophband_15	15yr Social Phobia (self-report 6-band computer prediction, ICD-10 and DSM-IV)
sspphband_15	15yr Specific Phobia (self-report 6-band computer prediction, ICD-10 and DSM-IV)
any01_15	15yr Any Yes-no disorder (any informant computer prediction, ICD-10 and DSM-IV)
pext01_15	15yr Yes-no externalising disorder (ODD CD ADHD parent computer prediction, ICD-10 and DSM-IV)
padhd01_15	15yr Yes-no ADHD disorder (parent computer prediction, DSM-IV)
phk01_15	15yr Yes-no Hyperkinetic disorder (parent computer prediction, ICD-10)
pbehav01_15	15yr Yes-no behavioural disorder (ODD or CD parent computer prediction, ICD-10 and DSM-IV)
podd01_15	15yr Yes-no ODD disorder (parent computer prediction, DSM-IV)
pcd01_15	15yr Yes-no CD disorder (parent computer prediction, DSM-IV)
semot01_15	15yr Yes-no emotional disorder (self-report computer prediction, ICD-10 and DSM-IV)
sdep01_15	15yr Yes-no depressive disorder (self-report computer prediction, ICD-10 and DSM-IV)
sanx01_15	15yr Yes-no anxiety disorder (self-report computer prediction, ICD-10 and DSM-IV)
sgena01_15	15yr Yes-no generalised anxiety disorder (self-report computer prediction, ICD-10 and DSM-IV)
span01_15	15yr Yes-no panic disorder (self-report computer prediction, ICD-10 and DSM-IV)
sago01_15	15yr Yes-no agoraphobia disorder (self-report computer prediction, ICD-10 and DSM-IV)
sptsd01_15	15yr Yes-no PTSD (self-report computer prediction, ICD-10 and DSM-IV)
ssoph01_15	15yr Yes-no social phobia (self-report computer prediction, ICD-10 and DSM-IV)
sspph01_15	15yr Yes-no specific phobia (self-report computer prediction, ICD-10 and DSM-IV)
mz010	Pregnancy size
mz010a	Pregnancy size (summary)
mz013	28-day survivors
mz014	1-year survivors
mz028b	Grouped age of mother at delivery
d152	Had bulimia
d167	Had drug addiction
d168	Had alcoholism
d169	Had schizophrenia
d170	Had anorexia nervosa
d171	Had severe depression
d172	Had other psychiatric PROB
d152a	Had bulimia, Y/N
d167a	Had drug addiction, Y/N
d168a	Had alcoholism, Y/N
d169a	Had schizophrenia, Y/N
d170a	Had anorexia nervosa, Y/N
d171a	Had severe depression, Y/N
d172a	Had other psychiatric problem, Y/N
f020	Had anxiety since CH born
f020a	Had anxiety since birth
f021	Had depression since CH born
j001	Questionnaire Version
j010	MUMs Health Now
j011	MUM had Anxiety >1 YR
j011a	MUM Had Anxiety >1 YR  y/n
j012	MUM had Depression >1 YR
j012a	MUM Had Depression >1 YR  y/n
k1010	A2a: Mother had anxiety or nerves in past year
k1011	A2b: Mother had depression in past year
k1020	A2k: Mother had schizophrenia in past year
k1022	A2m: Mother had alcohol problem in past year
n0008	Questionnaire version
n1042	A3c: Mother has ever had bulimia
n1057	A3r: Mother has ever had a drug addiction
n1058	A3s: Mother has ever had alcoholism
n1059	A3t: Mother has ever had schizophrenia
n1060	A3u: Mother has ever had anorexia nervosa
n1061	A3v: Mother has ever had severe depression
n1062	A3w: Mother has ever had any other psychiatric problems
n2013	B1n1: Mother's natural mother has ever had depression
n2009	B1j1: Mother's natural mother has ever had an alcohol problem
n2010	B1k1: Mother's natural mother has ever had schizophrenia
n2029	B1j2: Mother's natural father has ever had an alcohol problem
n2030	B1k2: Mother's natural father has ever had schizophrenia
n2033	B1n2: Mother's natural father has ever had depression
n9985	DV: Questionnaire completed by...
n9990a	L2: Date of completion of questionnaire - month
n9990b	L2: Date of completion of questionnaire - year
s0008	Questionnaire version
s1010	A2a: Mother has had anxiety or nerves in last 2 years
s1011	A2b: Mother has had depression in last 2 years
s1020	A2k: Mother has had schizophrenia in last 2 years
s9985	DV: Questionnaire completed by...
s9990a	J3: Date of completion of questionnaire - month
s9990b	J3: Date of completion of questionnaire - year
b_soc2000_m	B: Standard Occupational Classification 2000 (mother)
b_score_m	B: CASCOT accuracy score (mother)
b_soc90_m	B: Standard Occupation Classification 1990 (mother)
b_empst_m	B: Employment status (mother)
b_sc_m	B: Social class based on occupation (mother)
b_seg_m	B: Socio economic group (mother)
b_mcamsis_m	B: Male CAMSIS score (mother)
b_fcamsis_m	B: Female CAMSIS score (mother)
b_snssec_m	B: Raw simplified NSSEC (mother)
b_snssec_analytical_m	B: Simplified NSSEC analytical classes (mother)
b_rnssec_m	B: Raw reduced NSSEC (mother)
b_rnssec_analytical_m	B: Reduced NSSEC analytic classes (mother)
c_soc2000_m	C: Standard Occupational Classification 2000 (mother)
c_score_m	C: CASCOT accuracy score (mother)
c_soc90_m	C: Standard Occupation Classification 1990 (mother)
c_empst_m	C: Employment status (mother)
c_sc_m	C: Social class based on occupation (mother)
c_seg_m	C: Socio economic group (mother)
c_mcamsis_m	C: Male CAMSIS score (mother)
c_fcamsis_m	C: Female CAMSIS score (mother)
c_snssec_m	C: Raw simplified NSSEC (mother)
c_snssec_analytical_m	C: Simplified NSSEC analytical classes (mother)
c_rnssec_m	C: Raw reduced NSSEC (mother)
c_rnssec_analytical_m	C: Reduced NSSEC analytic classes (mother)
f_soc2000_m	F: Standard Occupational Classification 2000 (mother)
f_score_m	F: CASCOT accuracy score (mother)
f_soc90_m	F: Standard Occupation Classification 1990 (mother)
f_empst_m	F: Employment status (mother)
f_sc_m	F: Social class based on occupation (mother)
f_seg_m	F: Socio economic group (mother)
f_mcamsis_m	F: Male CAMSIS score (mother)
f_fcamsis_m	F: Female CAMSIS score (mother)
f_snssec_m	F: Raw simplified NSSEC (mother)
f_snssec_analytical_m	F: Simplified NSSEC analytical classes (mother)
f_rnssec_m	F: Raw reduced NSSEC (mother)
f_rnssec_analytical_m	F: Reduced NSSEC analytic classes (mother)
g_soc2000_m	G: Standard Occupational Classification 2000 (mother)
g_score_m	G: CASCOT accuracy score (mother)
g_soc90_m	G: Standard Occupation Classification 1990 (mother)
g_empst_m	G: Employment status (mother)
g_sc_m	G: Social class based on occupation (mother)
g_seg_m	G: Socio economic group (mother)
g_mcamsis_m	G: Male CAMSIS score (mother)
g_fcamsis_m	G: Female CAMSIS score (mother)
g_snssec_m	G: Raw simplified NSSEC (mother)
g_snssec_analytical_m	G: Simplified NSSEC analytical classes (mother)
g_rnssec_m	G: Raw reduced NSSEC (mother)
g_rnssec_analytical_m	G: Reduced NSSEC analytic classes (mother)
h_soc2000_m	H: Standard Occupational Classification 2000 (mother)
h_score_m	H: CASCOT accuracy score (mother)
h_soc90_m	H: Standard Occupation Classification 1990 (mother)
h_empst_m	H: Employment status (mother)
h_sc_m	H: Social class based on occupation (mother)
h_seg_m	H: Socio economic group (mother)
h_mcamsis_m	H: Male CAMSIS score (mother)
h_fcamsis_m	H: Female CAMSIS score (mother)
h_snssec_m	H: Raw simplified NSSEC (mother)
h_snssec_analytical_m	H: Simplified NSSEC analytical classes (mother)
h_rnssec_m	H: Raw reduced NSSEC (mother)
h_rnssec_analytical_m	H: Reduced NSSEC analytic classes (mother)
j_soc2000_m	J: Standard Occupational Classification 2000 (mother)
j_score_m	J: CASCOT accuracy score (mother)
j_soc90_m	J: Standard Occupation Classification 1990 (mother)
j_empst_m	J: Employment status (mother)
j_sc_m	J: Social class based on occupation (mother)
j_seg_m	J: Socio economic group (mother)
j_mcamsis_m	J: Male CAMSIS score (mother)
j_fcamsis_m	J: Female CAMSIS score (mother)
j_snssec_m	J: Raw simplified NSSEC (mother)
j_snssec_analytical_m	J: Simplified NSSEC analytical classes (mother)
j_rnssec_m	J: Raw reduced NSSEC (mother)
j_rnssec_analytical_m	J: Reduced NSSEC analytic classes (mother)
c_soc2000_ptnr_pp	C: Standard Occupational Classification 2000 (partner proxy)
c_score_ptnr_pp	C: CASCOT accuracy score (partner proxy)
c_soc90_ptnr_pp	C: Standard Occupation Classification 1990 (partner proxy)
c_empst_ptnr_pp	C: Employment status (partner proxy)
c_sc_ptnr_pp	C: Social class based on occupation (partner proxy)
c_seg_ptnr_pp	C: Socio economic group (partner proxy)
c_mcamsis_ptnr_pp	C: Male CAMSIS score (partner proxy)
c_fcamsis_ptnr_pp	C: Female CAMSIS score (partner proxy)
c_snssec_ptnr_pp	C: Raw simplified NSSEC (partner proxy)
c_snssec_analytical_ptnr_pp	C: Simplified NSSEC analytical classes (partner proxy)
c_rnssec_ptnr_pp	C: Raw reduced NSSEC (partner proxy)
c_rnssec_analytical_ptnr_pp	C: Reduced NSSEC analytic classes (partner proxy)
f_soc2000_ptnr_pp	F: Standard Occupational Classification 2000 (partner proxy)
f_score_ptnr_pp	F: CASCOT accuracy score (partner proxy)
f_soc90_ptnr_pp	F: Standard Occupation Classification 1990 (partner proxy)
f_empst_ptnr_pp	F: Employment status (partner proxy)
f_sc_ptnr_pp	F: Social class based on occupation (partner proxy)
f_seg_ptnr_pp	F: Socio economic group (partner proxy)
f_mcamsis_ptnr_pp	F: Male CAMSIS score (partner proxy)
f_fcamsis_ptnr_pp	F: Female CAMSIS score (partner proxy)
f_snssec_ptnr_pp	F: Raw simplified NSSEC (partner proxy)
f_snssec_analytical_ptnr_pp	F: Simplified NSSEC analytical classes (partner proxy)
f_rnssec_ptnr_pp	F: Raw reduced NSSEC (partner proxy)
f_rnssec_analytical_ptnr_pp	F: Reduced NSSEC analytic classes (partner proxy)
g_soc2000_ptnr_pp	G: Standard Occupational Classification 2000 (partner proxy)
g_score_ptnr_pp	G: CASCOT accuracy score (partner proxy)
g_soc90_ptnr_pp	G: Standard Occupation Classification 1990 (partner proxy)
g_empst_ptnr_pp	G: Employment status (partner proxy)
g_sc_ptnr_pp	G: Social class based on occupation (partner proxy)
g_seg_ptnr_pp	G: Socio economic group (partner proxy)
g_mcamsis_ptnr_pp	G: Male CAMSIS score (partner proxy)
g_fcamsis_ptnr_pp	G: Female CAMSIS score (partner proxy)
g_snssec_ptnr_pp	G: Raw simplified NSSEC (partner proxy)
g_snssec_analytical_ptnr_pp	G: Simplified NSSEC analytical classes (partner proxy)
g_rnssec_ptnr_pp	G: Raw reduced NSSEC (partner proxy)
g_rnssec_analytical_ptnr_pp	G: Reduced NSSEC analytic classes (partner proxy)
h_soc2000_ptnr_pp	H: Standard Occupational Classification 2000 (partner proxy)
h_score_ptnr_pp	H: CASCOT accuracy score (partner proxy)
h_soc90_ptnr_pp	H: Standard Occupation Classification 1990 (partner proxy)
h_empst_ptnr_pp	H: Employment status (partner proxy)
h_sc_ptnr_pp	H: Social class based on occupation (partner proxy)
h_seg_ptnr_pp	H: Socio economic group (partner proxy)
h_mcamsis_ptnr_pp	H: Male CAMSIS score (partner proxy)
h_fcamsis_ptnr_pp	H: Female CAMSIS score (partner proxy)
h_snssec_ptnr_pp	H: Raw simplified NSSEC (partner proxy)
h_snssec_analytical_ptnr_pp	H: Simplified NSSEC analytical classes (partner proxy)
h_rnssec_ptnr_pp	H: Raw reduced NSSEC (partner proxy)
h_rnssec_analytical_ptnr_pp	H: Reduced NSSEC analytic classes (partner proxy)
j_soc2000_ptnr_pp	J: Standard Occupational Classification 2000 (partner proxy)
j_score_ptnr_pp	J: CASCOT accuracy score (partner proxy)
j_soc90_ptnr_pp	J: Standard Occupation Classification 1990 (partner proxy)
j_empst_ptnr_pp	J: Employment status (partner proxy)
j_sc_ptnr_pp	J: Social class based on occupation (partner proxy)
j_seg_ptnr_pp	J: Socio economic group (partner proxy)
j_mcamsis_ptnr_pp	J: Male CAMSIS score (partner proxy)
j_fcamsis_ptnr_pp	J: Female CAMSIS score (partner proxy)
j_snssec_ptnr_pp	J: Raw simplified NSSEC (partner proxy)
j_snssec_analytical_ptnr_pp	J: Simplified NSSEC analytical classes (partner proxy)
j_rnssec_ptnr_pp	J: Raw reduced NSSEC (partner proxy)
j_rnssec_analytical_ptnr_pp	J: Reduced NSSEC analytic classes (partner proxy)
bestgest	Gestation at delivery or death
pa001	Questionnaire version
pa158	Attempted suicide
pa159	Attempted suicide, Y/N
pa160	Age attempted suicide
pa188	Had alcoholism
pa189	Had schizophrenia
pa190	Had anorexia nervosa
pa191	Had severe depression
pa192	Had other psychiatric PROB
pa187a	Had drug addiction, Y/N
pa188a	Had alcoholism, Y/N
pa189a	Had schizophrenia, Y/N
pa190a	Had anorexia nervosa, Y/N
pa191a	Had severe depression, Y/N
pa192a	Had other psychiatric problem, Y/N
pe001	Form Date
pe020	Anxiety Since Child > 8 Months
pe020a	Anxiety Y/N
pe021	Depression Since Child > 8 Months
pe021a	Depression Y/N
pp0008	Questionnaire version
pp2002	B1c: Respondent has ever had bulimia
pp2017	B1q: Respondent has ever had a drug addiction
pp2018	B1r: Respondent has ever had alcoholism
pp2019	B1s: Respondent has ever had schizophrenia
pp2020	B1t: Respondent has ever had anorexia nervosa
pp2021	B1u: Respondent has ever had severe depression
pp2022	B1v: Respondent has ever had other psychiatric problems
pp9985	DV: Questionnaire completed by...
pp9990a	K2: Date of completion of questionnaire - month
pp9990b	K2: Date of completion of questionnaire - year
pq0008	Questionnaire version
pq1010	A2a: Partner has had anxiety or nerves in the last two years
pq1011	A2b: Partner has had depression in the last two years
pq1020	A2k: Partner has had schizophrenia in the last two years
pq4100	D1k: Partner has used medicine for depression in the last 12 months
pq4103	D1k1: Frequency partner used medicine for depression in the last 12 months - 1st medicine
pq4105	D1k2: Frequency partner used medicine for depression in the last 12 months - 2nd medicine
pq4110	D1l: Partner has used medicine for anxiety or nerves in the last 12 months
pq4113	D1l1: Frequency partner used medicine for anxiety or nerves in the last 12 months - 1st medicine
pq4115	D1l2: Frequency partner used medicine for anxiety or nerves in the last 12 months - 2nd medicine
